sale_id,date,item_id,product_name,quantity,price,amount
1001,2026-01-02,326,Apple Laptops 326,4,77196,308784
1002,2026-01-02,523,Canon Headphones 523,2,2869,5738
1003,2026-01-05,217,Nikon Tablets 217,4,20250,81000
1004,2026-01-05,623,Boat Smart Watches 623,2,21002,42004
1005,2026-01-07,205,Boat Tablets 205,5,52762,263810
1006,2026-01-08,227,Xiaomi Tablets 227,2,32332,64664
1007,2026-01-11,711,Canon Cameras 711,4,57958,231832
1008,2026-01-12,218,Dell Tablets 218,2,41461,82922
1009,2026-01-13,507,Xiaomi Headphones 507,1,8135,8135
1010,2026-01-14,618,Nikon Smart Watches 618,2,15369,30738
1011,2026-01-14,602,HP Smart Watches 602,3,25165,75495
1012,2026-01-15,426,Apple Accessories 426,1,529,529
1013,2026-01-16,524,Boat Headphones 524,4,11312,45248
1014,2026-01-17,427,Samsung Accessories 427,4,1448,5792
1015,2026-01-18,226,Noise Tablets 226,2,68549,137098
1016,2026-01-18,121,Noise Mobiles 121,1,44973,44973
1017,2026-01-18,128,Dell Mobiles 128,5,50857,254285
1018,2026-01-19,614,Noise Smart Watches 614,4,19779,79116
1019,2026-01-19,310,Xiaomi Laptops 310,1,143202,143202
1020,2026-01-20,111,Dell Mobiles 111,3,44993,134979
1021,2026-01-21,116,Xiaomi Mobiles 116,4,44718,178872
1022,2026-01-22,323,Nikon Laptops 323,1,149278,149278
1023,2026-01-23,725,Boat Cameras 725,4,136985,547940
1024,2026-01-24,628,Canon Smart Watches 628,5,5267,26335
1025,2026-01-26,119,Xiaomi Mobiles 119,1,65333,65333
1026,2026-01-28,605,Samsung Smart Watches 605,4,7436,29744
1027,2026-01-28,424,Sony Accessories 424,2,2266,4532
1028,2026-01-29,620,Canon Smart Watches 620,3,17473,52419
1029,2026-01-29,415,Sony Accessories 415,1,4107,4107
1030,2026-02-02,620,Canon Smart Watches 620,3,17473,52419
1031,2026-02-02,216,Samsung Tablets 216,4,53284,213136
1032,2026-02-03,328,Samsung Laptops 328,1,72092,72092
1033,2026-02-03,111,Dell Mobiles 111,5,44993,224965
1034,2026-02-03,428,Noise Accessories 428,4,1137,4548
1035,2026-02-06,419,Xiaomi Accessories 419,5,4028,20140
1036,2026-02-07,617,Samsung Smart Watches 617,1,22644,22644
1037,2026-02-07,522,Canon Headphones 522,3,8843,26529
1038,2026-02-10,113,Nikon Mobiles 113,5,38785,193925
1039,2026-02-13,619,Noise Smart Watches 619,1,29267,29267
1040,2026-02-15,425,Nikon Accessories 425,4,626,2504
1041,2026-02-19,607,Canon Smart Watches 607,3,4635,13905
1042,2026-02-20,215,Samsung Tablets 215,2,52957,105914
1043,2026-02-22,607,Canon Smart Watches 607,3,4635,13905
1044,2026-02-23,108,HP Mobiles 108,5,57400,287000
1045,2026-02-24,513,Nikon Headphones 513,2,13421,26842
1046,2026-02-24,718,Xiaomi Cameras 718,2,89143,178286
1047,2026-02-25,215,Samsung Tablets 215,4,52957,211828
1048,2026-02-25,317,Dell Laptops 317,2,73386,146772
1049,2026-02-25,224,Lenovo Tablets 224,4,19508,78032
